sex,age_months,L,M,S
M,217.5,1,176.1925,0.04232
M,218.5,1,176.2368,0.04222
M,219.5,1,176.2779,0.04213
M,220.5,1,176.3162,0.04204
M,221.5,1,176.3518,0.04195
M,222.5,1,176.3851,0.04185
M,223.5,1,176.4162,0.04177
M,224.5,1,176.4453,0.04168
M,225.5,1,176.4724,0.04159
M,226.5,1,176.4976,0.0415
M,227.5,1,176.5211,0.04142
M,228.5,1,176.5432,0.04134
F,61.5,1,109.6016,0.04355
F,62.5,1,110.1258,0.04364
F,63.5,1,110.6451,0.04373
F,64.5,1,111.1596,0.04382
F,65.5,1,111.6696,0.0439
F,66.5,1,112.1753,0.04399
F,67.5,1,112.6767,0.04407
F,68.5,1,113.174,0.04415
F,69.5,1,113.6672,0.04423
F,70.5,1,114.1565,0.04431
F,71.5,1,114.6421,0.04439
F,72.5,1,115.1244,0.04447
F,73.5,1,115.6039,0.04454
F,74.5,1,116.0812,0.04461
F,75.5,1,116.5568,0.04469
F,76.5,1,117.0311,0.04475
F,77.5,1,117.5044,0.04482
F,78.5,1,117.9769,0.04489
F,79.5,1,118.4489,0.04495
F,80.5,1,118.9208,0.04502
F,81.5,1,119.3926,0.04508
F,82.5,1,119.8648,0.04514
F,83.5,1,120.3374,0.0452
F,84.5,1,120.8105,0.04525
F,85.5,1,121.2843,0.04531
F,86.5,1,121.7587,0.04536
F,87.5,1,122.2338,0.04542
F,88.5,1,122.7098,0.04547
F,89.5,1,123.1868,0.04551
F,90.5,1,123.6646,0.04556
F,91.5,1,124.1435,0.04561
F,92.5,1,124.6234,0.04565
F,93.5,1,125.1045,0.04569
F,94.5,1,125.5869,0.04573
F,95.5,1,126.0706,0.04577
F,96.5,1,126.5558,0.04581
F,97.5,1,127.0424,0.04585
F,98.5,1,127.5304,0.04588
F,99.5,1,128.0199,0.04591
F,100.5,1,128.5109,0.04594
F,101.5,1,129.0035,0.04597
F,102.5,1,129.4975,0.046
F,103.5,1,129.9932,0.04602
F,104.5,1,130.4904,0.04604
F,105.5,1,130.9891,0.04607
F,106.5,1,131.4895,0.04608
F,107.5,1,131.9912,0.0461
F,108.5,1,132.4944,0.04612
F,109.5,1,132.9989,0.04613
F,110.5,1,133.5046,0.04614
F,111.5,1,134.0118,0.04615
F,112.5,1,134.5202,0.04616
F,113.5,1,135.0299,0.04616
F,114.5,1,135.541,0.04617
F,115.5,1,136.0533,0.04617
F,116.5,1,136.567,0.04616
F,117.5,1,137.0821,0.04616
F,118.5,1,137.5987,0.04616
F,119.5,1,138.1167,0.04615
F,120.5,1,138.6363,0.04614
F,121.5,1,139.1575,0.04612
F,122.5,1,139.6803,0.04611
F,123.5,1,140.2049,0.04609
F,124.5,1,140.7313,0.04607
F,125.5,1,141.2594,0.04605
F,126.5,1,141.7892,0.04603
F,127.5,1,142.3206,0.046
F,128.5,1,142.8534,0.04597
F,129.5,1,143.3874,0.04594
F,130.5,1,143.9222,0.04591
F,131.5,1,144.4575,0.04588
F,132.5,1,144.9929,0.04584
F,133.5,1,145.528,0.0458
F,134.5,1,146.0622,0.04576
F,135.5,1,146.5951,0.04571
F,136.5,1,147.1262,0.04567
F,137.5,1,147.6548,0.04562
F,138.5,1,148.1804,0.04557
F,139.5,1,148.7023,0.04552
F,140.5,1,149.2197,0.04546
F,141.5,1,149.7322,0.04541
F,142.5,1,150.239,0.04535
F,143.5,1,150.7394,0.04529
F,144.5,1,151.2327,0.04523
F,145.5,1,151.7182,0.04516
F,146.5,1,152.1951,0.0451
F,147.5,1,152.6628,0.04503
F,148.5,1,153.1206,0.04497
F,149.5,1,153.5678,0.0449
F,150.5,1,154.0041,0.04483
F,151.5,1,154.429,0.04476
F,152.5,1,154.8423,0.04468
F,153.5,1,155.2437,0.04461
F,154.5,1,155.633,0.04454
F,155.5,1,156.0101,0.04446
F,156.5,1,156.3748,0.04439
F,157.5,1,156.7269,0.04431
F,158.5,1,157.0666,0.04423
F,159.5,1,157.3936,0.04415
F,160.5,1,157.7082,0.04408
F,161.5,1,158.0102,0.044
F,162.5,1,158.2997,0.04392
F,163.5,1,158.5771,0.04384
F,164.5,1,158.8425,0.04376
F,165.5,1,159.0961,0.04369
F,166.5,1,159.3382,0.04361
F,167.5,1,159.5691,0.04353
F,168.5,1,159.789,0.04345
F,169.5,1,159.9983,0.04337
F,170.5,1,160.1971,0.0433
F,171.5,1,160.3857,0.04322
F,172.5,1,160.5643,0.04314
F,173.5,1,160.7332,0.04307
F,174.5,1,160.8927,0.04299
F,175.5,1,161.043,0.04292
F,176.5,1,161.1845,0.04284
F,177.5,1,161.3176,0.04277
F,178.5,1,161.4425,0.0427
F,179.5,1,161.5596,0.04263
F,180.5,1,161.6692,0.04255
F,181.5,1,161.7717,0.04248
F,182.5,1,161.8673,0.04241
F,183.5,1,161.9564,0.04235
F,184.5,1,162.0393,0.04228
F,185.5,1,162.1164,0.04221
F,186.5,1,162.188,0.04214
F,187.5,1,162.2542,0.04208
F,188.5,1,162.3154,0.04201
F,189.5,1,162.3719,0.04195
F,190.5,1,162.4239,0.04189
F,191.5,1,162.4717,0.04182
F,192.5,1,162.5156,0.04176
F,193.5,1,162.556,0.0417
F,194.5,1,162.5933,0.04164
F,195.5,1,162.6276,0.04158
F,196.5,1,162.6594,0.04152
F,197.5,1,162.689,0.04147
